Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
2.1300000000;0.0189055105;-0.0214023019;-0.0166441685;0.0477000610;0.1291325769;0.0056571216
2.1400000000;0.0189565275;-0.0214455281;-0.0167439709;0.0483264203;0.1300070186;0.0063881565
2.1500000000;0.0190071887;-0.0214882088;-0.0168506189;0.0489772597;0.1308821548;0.0071297176
2.1600000000;0.0190574959;-0.0215303388;-0.0169633355;0.0496449858;0.1317633206;0.0078829513
2.1700000000;0.0191074505;-0.0215719127;-0.0170812934;0.0503254056;0.1326546193;0.0086486871
2.1800000000;0.0191570539;-0.0216129250;-0.0172036333;0.0510146750;0.1335608661;0.0094276392
2.1900000000;0.0192063069;-0.0216533700;-0.0173294719;0.0517085698;0.1344900013;0.0102206658
2.2000000000;0.0192552104;-0.0216932415;-0.0174579160;0.0524051537;0.1354497310;0.0110287916
2.2100000000;0.0193037651;-0.0217325328;-0.0175880868;0.0531064610;0.1364419223;0.0118530749
2.2200000000;0.0193519713;-0.0217712370;-0.0177191388;0.0538169517;0.1374609795;0.0126944513
2.2300000000;0.0193998295;-0.0218093466;-0.0178502620;0.0545409519;0.1384974653;0.0135536160
2.2400000000;0.0194473401;-0.0218468535;-0.0179806746;0.0552822700;0.1395446010;0.0144308769
2.2500000000;0.0194945034;-0.0218837488;-0.0181096277;0.0560457177;0.1406013882;0.0153259930
2.2600000000;0.0195413197;-0.0219200228;-0.0182364202;0.0568376067;0.1416684840;0.0162383174
2.2700000000;0.0195877893;-0.0219556653;-0.0183604059;0.0576642011;0.1427433742;0.0171671268
2.2800000000;0.0196339122;-0.0219906665;-0.0184809865;0.0585299909;0.1438199315;0.0181117064
2.2900000000;0.0196796881;-0.0220250171;-0.0185976024;0.0594360832;0.1448890477;0.0190713272
2.3000000000;0.0197251166;-0.0220587087;-0.0187097276;0.0603782926;0.1459401279;0.0200453668
2.3100000000;0.0197701969;-0.0220917340;-0.0188168682;0.0613483886;0.1469649627;0.0210333591
2.3200000000;0.0198149279;-0.0221240869;-0.0189185721;0.0623381372;0.1479584024;0.0220349543
2.3300000000;0.0198593084;-0.0221557628;-0.0190144464;0.0633408645;0.1489137427;0.0230500080
2.3400000000;0.0199033373;-0.0221867582;-0.0191041616;0.0643517759;0.1498201739;0.0240785984
2.3500000000;0.0199470133;-0.0222170715;-0.0191874428;0.0653696128;0.1506640241;0.0251208810
